MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15915,2489,5443,.457,524,1351,.388,1965,4092,.480,951,1235,.770,640,1947,2587,1470,528,362,915,1410,6453
241.1,37.7,82.5,.457,7.9,20.5,.388,29.8,62.0,.480,14.4,18.7,.770,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8
23,7,10,7,3,9,2,18,18,12,29,29,11,29,24,28,9,11,6,4,27,12
