MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19805,3130,6840,.458,658,1632,.403,2472,5208,.475,1378,1744,.790,885,2801,3686,1845,567,346,1236,1753,8296
241.5,38.2,83.4,.458,8.0,19.9,.403,30.1,63.5,.475,16.8,21.3,.790,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2
16,6,9,11,8,13,1,16,14,18,14,18,4,22,1,3,14,27,27,24,29,7
