MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19730,3410,7137,.478,883,2217,.398,2527,4920,.514,1313,1709,.768,853,2814,3667,2248,762,496,1185,1628,9016
240.6,41.6,87.0,.478,10.8,27.0,.398,30.8,60.0,.514,16.0,20.8,.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0
26,1,3,1,2,4,1,10,21,2,23,26,9,23,4,6,1,4,2,18,13,1
