MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19880,3489,7159,.487,1077,2592,.416,2412,4567,.528,1366,1790,.763,816,2972,3788,2373,689,498,1245,1701,9421
242.4,42.5,87.3,.487,13.1,31.6,.416,29.4,55.7,.528,16.7,21.8,.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
5,1,3,1,1,1,1,16,26,1,22,23,16,21,1,4,1,9,2,24,19,1
